0	0.006	0.01	0.014664
1	0.018	-0.008	0.023412
2	0.036	-0.026	0.039028
3	0.06	-0.032	0.052976
4	0.06	-0.052	0.060896
5	0.062	-0.056	0.07842
6	0.076	-0.064	0.099328
7	0.07	-0.066	0.111544
8	0.06	-0.078	0.122916
9	0.066	-0.058	0.13348
10	0.056	-0.062	0.13642
11	0.07	-0.068	0.146276
12	0.072	-0.07	0.158516
13	0.058	-0.08	0.168836
14	0.064	-0.09	0.178804
15	0.072	-0.092	0.188352
16	0.078	-0.092	0.210452
17	0.09	-0.088	0.217156
18	0.086	-0.084	0.234948
19	0.08	-0.088	0.251456
20	0.072	-0.086	0.26882
21	0.09	-0.078	0.293416
22	0.092	-0.068	0.318112
23	0.09	-0.058	0.334536
24	0.104	-0.068	0.36496
25	0.082	-0.054	0.38516
26	0.086	-0.058	0.39644
27	0.086	-0.052	0.3913
28	0.102	-0.074	0.40852
29	0.098	-0.062	0.420152
30	0.118	-0.064	0.43658
31	0.124	-0.074	0.455348
32	0.12	-0.09	0.4829
33	0.12	-0.098	0.490596
34	0.13	-0.098	0.523896
35	0.142	-0.11	0.538136
36	0.15	-0.118	0.563576
37	0.164	-0.126	0.576628
38	0.172	-0.122	0.590132
39	0.164	-0.13	0.587604
40	0.16	-0.102	0.572996
41	0.154	-0.114	0.581688
42	0.17	-0.106	0.600664
43	0.178	-0.094	0.58428
44	0.166	-0.09	0.591144
45	0.156	-0.106	0.603028
46	0.176	-0.114	0.632628
47	0.186	-0.118	0.65468
48	0.17	-0.14	0.6765
49	0.16	-0.144	0.672464
50	0.168	-0.162	0.667332
51	0.164	-0.162	0.68786
52	0.148	-0.166	0.68554
53	0.154	-0.166	0.665528
54	0.168	-0.184	0.67872
55	0.152	-0.188	0.689152
56	0.144	-0.196	0.710048
57	0.152	-0.196	0.70768
58	0.162	-0.198	0.714552
59	0.176	-0.21	0.741924
60	0.176	-0.214	0.768228
61	0.174	-0.202	0.75852
62	0.176	-0.208	0.74896
63	0.174	-0.222	0.72644
64	0.146	-0.236	0.720788
65	0.172	-0.248	0.714112
66	0.162	-0.23	0.728856
67	0.14	-0.24	0.756
68	0.13	-0.234	0.723944
69	0.136	-0.218	0.75578
70	0.134	-0.218	0.77772
71	0.15	-0.22	0.7717
72	0.14	-0.226	0.781124
73	0.146	-0.216	0.824628
74	0.142	-0.222	0.852552
75	0.138	-0.234	0.8466
76	0.146	-0.24	0.875684
77	0.136	-0.25	0.850804
78	0.132	-0.282	0.832452
79	0.142	-0.268	0.851012
80	0.134	-0.26	0.873844
81	0.136	-0.256	0.849168
82	0.128	-0.228	0.853232
83	0.118	-0.23	0.847976
84	0.122	-0.216	0.86506
85	0.112	-0.21	0.887956
86	0.108	-0.198	0.911332
87	0.112	-0.18	0.929456
88	0.108	-0.186	0.96034
89	0.1	-0.17	0.9557
90	0.094	-0.18	0.977764
91	0.082	-0.19	0.983976
92	0.098	-0.184	0.96954
93	0.09	-0.194	0.995464
94	0.088	-0.184	0.9988
95	0.092	-0.174	1.00666
96	0.092	-0.174	0.99946
97	0.082	-0.184	1.01002
98	0.09	-0.172	0.988516
99	0.094	-0.19	1.03626
